component,prob mem,prob cp,index mem,index cp
Residual0,7e-05,6e-05,NA,NA
Residual1,9e-05,7e-05,NA,NA
Residual2,0.00011,9e-05,NA,NA
Residual3,0.00012,0.0001,NA,NA
Residual4,0.00011,9e-05,NA,NA
Residual5,0.00017,0.00023,NA,NA
Residual6,0.00028,0.00039,NA,NA
Residual7,0.00046,0.00214,NA,NA
Residual8,0.00057,0.00225,NA,NA
Residual9,0.00117,0.01229,NA,NA
Residual10,0.00272,0.03496,NA,NA
Residual11,0.00315,0.02007,NA,NA
MLP0,6e-05,6e-05,NA,NA
MLP1,2e-05,2e-05,NA,NA
MLP2,2e-05,2e-05,NA,NA
MLP3,3e-05,3e-05,NA,NA
MLP4,2e-05,2e-05,NA,NA
MLP5,2e-05,1e-05,NA,NA
MLP6,4e-05,3e-05,NA,NA
MLP7,5e-05,7e-05,NA,NA
MLP8,9e-05,0.00013,NA,NA
MLP9,0.00027,0.00062,NA,NA
MLP10,0.00049,0.00235,NA,NA
MLP11,5e-05,6e-05,NA,NA
L0H0,3e-05,3e-05,NA,NA
L0H1,2e-05,2e-05,NA,NA
L0H2,1e-05,1e-05,NA,NA
L0H3,2e-05,1e-05,NA,NA
L0H4,2e-05,2e-05,NA,NA
L0H5,2e-05,2e-05,NA,NA
L0H6,2e-05,2e-05,NA,NA
L0H7,3e-05,3e-05,NA,NA
L0H8,3e-05,3e-05,NA,NA
L0H9,1e-05,1e-05,NA,NA
L0H10,3e-05,3e-05,NA,NA
L0H11,2e-05,2e-05,NA,NA
L1H0,2e-05,2e-05,NA,NA
L1H1,2e-05,2e-05,NA,NA
L1H2,2e-05,2e-05,NA,NA
L1H3,1e-05,1e-05,NA,NA
L1H4,1e-05,1e-05,NA,NA
L1H5,1e-05,1e-05,NA,NA
L1H6,2e-05,2e-05,NA,NA
L1H7,0.00013,0.0001,NA,NA
L1H8,1e-05,1e-05,NA,NA
L1H9,2e-05,2e-05,NA,NA
L1H10,2e-05,2e-05,NA,NA
L1H11,1e-05,1e-05,NA,NA
L2H0,3e-05,3e-05,NA,NA
L2H1,0.00017,0.00013,NA,NA
L2H2,3e-05,3e-05,NA,NA
L2H3,2e-05,2e-05,NA,NA
L2H4,2e-05,2e-05,NA,NA
L2H5,2e-05,2e-05,NA,NA
L2H6,3e-05,3e-05,NA,NA
L2H7,1e-05,1e-05,NA,NA
L2H8,3e-05,4e-05,NA,NA
L2H9,1e-05,1e-05,NA,NA
L2H10,1e-05,1e-05,NA,NA
L2H11,1e-05,1e-05,NA,NA
L3H0,6e-05,6e-05,NA,NA
L3H1,3e-05,3e-05,NA,NA
L3H2,4e-05,4e-05,NA,NA
L3H3,3e-05,4e-05,NA,NA
L3H4,1e-05,1e-05,NA,NA
L3H5,4e-05,3e-05,NA,NA
L3H6,1e-05,1e-05,NA,NA
L3H7,1e-05,1e-05,NA,NA
L3H8,6e-05,5e-05,NA,NA
L3H9,3e-05,3e-05,NA,NA
L3H10,1e-05,1e-05,NA,NA
L3H11,2e-05,3e-05,NA,NA
L4H0,5e-05,5e-05,NA,NA
L4H1,4e-05,4e-05,NA,NA
L4H2,2e-05,2e-05,NA,NA
L4H3,2e-05,1e-05,NA,NA
L4H4,1e-05,1e-05,NA,NA
L4H5,2e-05,2e-05,NA,NA
L4H6,3e-05,2e-05,NA,NA
L4H7,1e-05,2e-05,NA,NA
L4H8,2e-05,2e-05,NA,NA
L4H9,4e-05,4e-05,NA,NA
L4H10,2e-05,2e-05,NA,NA
L4H11,1e-05,1e-05,NA,NA
L5H0,9e-05,0.00012,NA,NA
L5H1,7e-05,0.00042,NA,NA
L5H2,2e-05,2e-05,NA,NA
L5H3,3e-05,3e-05,NA,NA
L5H4,2e-05,2e-05,NA,NA
L5H5,6e-05,8e-05,NA,NA
L5H6,2e-05,2e-05,NA,NA
L5H7,6e-05,5e-05,NA,NA
L5H8,2e-05,2e-05,NA,NA
L5H9,1e-05,1e-05,NA,NA
L5H10,6e-05,5e-05,NA,NA
L5H11,0.0,1e-05,NA,NA
L6H0,2e-05,2e-05,NA,NA
L6H1,0.0001,9e-05,NA,NA
L6H2,1e-05,1e-05,NA,NA
L6H3,2e-05,1e-05,NA,NA
L6H4,0.0003,0.00043,NA,NA
L6H5,2e-05,2e-05,NA,NA
L6H6,0.0,0.0,NA,NA
L6H7,6e-05,5e-05,NA,NA
L6H8,2e-05,2e-05,NA,NA
L6H9,0.00017,0.00086,NA,NA
L6H10,4e-05,5e-05,NA,NA
L6H11,2e-05,2e-05,NA,NA
L7H0,3e-05,3e-05,NA,NA
L7H1,0.00012,0.0002,NA,NA
L7H2,0.00017,0.00411,NA,NA
L7H3,1e-05,1e-05,NA,NA
L7H4,2e-05,2e-05,NA,NA
L7H5,0.00012,0.00012,NA,NA
L7H6,0.0,0.0,NA,NA
L7H7,0.00013,0.00016,NA,NA
L7H8,3e-05,3e-05,NA,NA
L7H9,1e-05,1e-05,NA,NA
L7H10,7e-05,0.00461,NA,NA
L7H11,0.00015,0.00021,NA,NA
