model_name,orthogonalize,premise,interval,target_true,target_false,other
GPT2-small,True,Redefine,0,425.47,8973.31,601.22
GPT2-small,True,Redefine,1,496.4,8811.0,692.6
GPT2-small,True,Redefine,2,557.9,8710.8,731.3
GPT2-small,True,Redefine,3,657.2,8554.3,788.5
GPT2-medium,True,Redefine,0,787.3,8388.0,824.7
GPT2-medium,True,Redefine,1,914.0,8104.1,981.9
GPT2-medium,True,Redefine,2,1020.1,7875.0,1104.9
GPT2-medium,True,Redefine,3,1399.9,7233.5,1366.6
GPT2-large,True,Redefine,0,1115.4,7762.0,1122.6
GPT2-large,True,Redefine,1,1249.9,7439.5,1310.6
GPT2-large,True,Redefine,2,1348.8,7246.3,1404.9
GPT2-large,True,Redefine,3,1309.6,7343.7,1346.7
GPT2-xl,True,Redefine,0,2285.5,6393.1,1321.4
GPT2-xl,True,Redefine,1,2472.0,6058.0,1470.0
GPT2-xl,True,Redefine,2,2557.3,5968.3,1474.4
GPT2-xl,True,Redefine,3,2398.9,6227.1,1374.0
GPT2-small,False,Redefine,-1,413,9547,40
GPT2-medium,False,Redefine,-1,431,9531,38
GPT2-large,False,Redefine,-1,1020,8959,21
GPT2-xl,False,Redefine,-1,726,9246,28
