component,prob mem,prob cp,index mem,index cp
MLP0,7e-05,5e-05,6916,8380
MLP1,2e-05,2e-05,24892,24658
MLP2,2e-05,2e-05,26689,26422
MLP3,3e-05,3e-05,17051,14497
MLP4,2e-05,2e-05,23978,23922
MLP5,2e-05,1e-05,25968,30062
MLP6,3e-05,3e-05,16257,20890
MLP7,4e-05,6e-05,18913,14036
MLP8,6e-05,9e-05,11697,7075
MLP9,0.00027,0.0007,1335,167
MLP10,0.00054,0.00313,339,350
MLP11,6e-05,5e-05,15374,15371
Residual0,8e-05,5e-05,6752,8879
Residual1,9e-05,6e-05,5580,7185
Residual2,0.00011,7e-05,4501,5877
Residual3,0.00012,8e-05,3099,4044
Residual4,0.00011,8e-05,4326,5349
Residual5,0.00016,0.00019,2643,1254
Residual6,0.00027,0.00032,1191,463
Residual7,0.00043,0.00177,684,8
Residual8,0.00052,0.00186,571,4
Residual9,0.00114,0.01353,61,0
Residual10,0.00274,0.03962,15,0
Residual11,0.00338,0.02479,6,0
