component,prob mem,prob cp,index mem,index cp
MLP0,7e-05,5e-05,6916,8380
MLP1,2e-05,2e-05,24892,24658
MLP2,2e-05,2e-05,26689,26422
MLP3,3e-05,3e-05,17051,14497
MLP4,2e-05,2e-05,23978,23922
MLP5,2e-05,1e-05,25968,30062
MLP6,3e-05,3e-05,16257,20890
MLP7,4e-05,6e-05,18913,14036
MLP8,6e-05,9e-05,11697,7075
MLP9,0.00027,0.0007,1335,167
MLP10,0.00054,0.00313,339,350
MLP11,6e-05,5e-05,15374,15371
Residual0,8e-05,5e-05,6752,8879
Residual1,9e-05,6e-05,5580,7185
Residual2,0.00011,7e-05,4501,5877
Residual3,0.00012,8e-05,3099,4044
Residual4,0.00011,8e-05,4326,5349
Residual5,0.00016,0.00019,2643,1254
Residual6,0.00027,0.00032,1191,463
Residual7,0.00043,0.00177,684,8
Residual8,0.00052,0.00186,571,4
Residual9,0.00114,0.01353,61,0
Residual10,0.00274,0.03962,15,0
Residual11,0.00338,0.02479,6,0
L0H0,3e-05,3e-05,NA,NA
L0H1,3e-05,2e-05,NA,NA
L0H2,1e-05,1e-05,NA,NA
L0H3,2e-05,1e-05,NA,NA
L0H4,2e-05,2e-05,NA,NA
L0H5,2e-05,2e-05,NA,NA
L0H6,2e-05,2e-05,NA,NA
L0H7,3e-05,3e-05,NA,NA
L0H8,2e-05,2e-05,NA,NA
L0H9,1e-05,1e-05,NA,NA
L0H10,3e-05,4e-05,NA,NA
L0H11,2e-05,2e-05,NA,NA
L1H0,1e-05,1e-05,NA,NA
L1H1,2e-05,3e-05,NA,NA
L1H2,2e-05,2e-05,NA,NA
L1H3,1e-05,1e-05,NA,NA
L1H4,1e-05,1e-05,NA,NA
L1H5,2e-05,1e-05,NA,NA
L1H6,2e-05,2e-05,NA,NA
L1H7,0.00013,8e-05,NA,NA
L1H8,1e-05,1e-05,NA,NA
L1H9,2e-05,2e-05,NA,NA
L1H10,2e-05,2e-05,NA,NA
L1H11,1e-05,1e-05,NA,NA
L2H0,3e-05,3e-05,NA,NA
L2H1,0.00018,0.00011,NA,NA
L2H2,3e-05,3e-05,NA,NA
L2H3,2e-05,2e-05,NA,NA
L2H4,2e-05,2e-05,NA,NA
L2H5,3e-05,2e-05,NA,NA
L2H6,3e-05,3e-05,NA,NA
L2H7,1e-05,1e-05,NA,NA
L2H8,4e-05,3e-05,NA,NA
L2H9,1e-05,1e-05,NA,NA
L2H10,1e-05,1e-05,NA,NA
L2H11,1e-05,1e-05,NA,NA
L3H0,8e-05,7e-05,NA,NA
L3H1,3e-05,2e-05,NA,NA
L3H2,5e-05,4e-05,NA,NA
L3H3,3e-05,3e-05,NA,NA
L3H4,1e-05,1e-05,NA,NA
L3H5,5e-05,4e-05,NA,NA
L3H6,1e-05,1e-05,NA,NA
L3H7,1e-05,1e-05,NA,NA
L3H8,7e-05,7e-05,NA,NA
L3H9,3e-05,3e-05,NA,NA
L3H10,1e-05,1e-05,NA,NA
L3H11,2e-05,2e-05,NA,NA
L4H0,7e-05,6e-05,NA,NA
L4H1,4e-05,4e-05,NA,NA
L4H2,1e-05,1e-05,NA,NA
L4H3,1e-05,1e-05,NA,NA
L4H4,0.0,1e-05,NA,NA
L4H5,1e-05,2e-05,NA,NA
L4H6,4e-05,3e-05,NA,NA
L4H7,2e-05,2e-05,NA,NA
L4H8,1e-05,2e-05,NA,NA
L4H9,4e-05,4e-05,NA,NA
L4H10,2e-05,2e-05,NA,NA
L4H11,1e-05,1e-05,NA,NA
L5H0,0.0001,0.00013,NA,NA
L5H1,6e-05,0.0004,NA,NA
L5H2,2e-05,2e-05,NA,NA
L5H3,4e-05,3e-05,NA,NA
L5H4,2e-05,2e-05,NA,NA
L5H5,7e-05,8e-05,NA,NA
L5H6,2e-05,2e-05,NA,NA
L5H7,4e-05,4e-05,NA,NA
L5H8,2e-05,2e-05,NA,NA
L5H9,1e-05,1e-05,NA,NA
L5H10,6e-05,5e-05,NA,NA
L5H11,0.0,0.0,NA,NA
L6H0,2e-05,2e-05,NA,NA
L6H1,0.0001,0.0001,NA,NA
L6H2,1e-05,1e-05,NA,NA
L6H3,2e-05,2e-05,NA,NA
L6H4,0.00039,0.00045,NA,NA
L6H5,2e-05,2e-05,NA,NA
L6H6,0.0,0.0,NA,NA
L6H7,7e-05,5e-05,NA,NA
L6H8,2e-05,2e-05,NA,NA
L6H9,0.00016,0.00082,NA,NA
L6H10,4e-05,4e-05,NA,NA
L6H11,2e-05,2e-05,NA,NA
L7H0,2e-05,2e-05,NA,NA
L7H1,0.00012,0.00021,NA,NA
L7H2,0.00018,0.00447,NA,NA
L7H3,1e-05,1e-05,NA,NA
L7H4,3e-05,2e-05,NA,NA
L7H5,0.00014,0.00013,NA,NA
L7H6,0.0,0.0,NA,NA
L7H7,0.00013,0.00018,NA,NA
L7H8,2e-05,3e-05,NA,NA
L7H9,1e-05,1e-05,NA,NA
L7H10,6e-05,0.00461,NA,NA
L7H11,0.00013,0.00018,NA,NA
L8H0,1e-05,1e-05,NA,NA
L8H1,0.00012,0.00045,NA,NA
L8H2,0.00012,6e-05,NA,NA
L8H3,8e-05,9e-05,NA,NA
L8H4,4e-05,4e-05,NA,NA
L8H5,1e-05,1e-05,NA,NA
L8H6,0.0004,0.00058,NA,NA
L8H7,0.00011,0.00012,NA,NA
L8H8,0.00061,0.00085,NA,NA
L8H9,2e-05,2e-05,NA,NA
L8H10,0.0,0.0,NA,NA
L8H11,0.0007,0.00215,NA,NA
L9H0,0.00032,0.0008,NA,NA
L9H1,2e-05,2e-05,NA,NA
L9H2,0.00018,0.00031,NA,NA
L9H3,0.00015,0.00015,NA,NA
L9H4,1e-05,1e-05,NA,NA
L9H5,0.0,0.0,NA,NA
L9H6,0.00274,0.03887,NA,NA
L9H7,3e-05,2e-05,NA,NA
L9H8,0.00279,0.0095,NA,NA
L9H9,0.00038,0.01208,NA,NA
L9H10,2e-05,1e-05,NA,NA
L9H11,3e-05,3e-05,NA,NA
L10H0,0.02572,0.08996,NA,NA
L10H1,4e-05,0.00016,NA,NA
L10H2,6e-05,0.0001,NA,NA
L10H3,0.00055,0.00698,NA,NA
L10H4,4e-05,3e-05,NA,NA
L10H5,1e-05,1e-05,NA,NA
L10H6,6e-05,0.00037,NA,NA
L10H7,0.0,0.0,NA,NA
L10H8,1e-05,1e-05,NA,NA
L10H9,5e-05,5e-05,NA,NA
L10H10,0.00022,0.00295,NA,NA
L10H11,0.00035,0.00058,NA,NA
