model_name,orthogonalize,premise,interval,target_true,target_false,other
gpt2,True,Redefine,(0, 0.25),425.47,8973.31,601.22
gpt2,True,Redefine,(0, 0.25),438.3,8956.3,605.4
gpt2,True,Redefine,(0.25, 0.5),496.4,8811.0,692.6
gpt2,True,Redefine,(0.5, 0.75),557.9,8710.8,731.3
gpt2,True,Redefine,(0.75, 1),657.2,8554.3,788.5
gpt2-medium,True,Redefine,(0, 0.25),787.3,8388.0,824.7
gpt2-medium,True,Redefine,(0.25, 0.5),914.0,8104.1,981.9
gpt2-medium,True,Redefine,(0.5, 0.75),1020.1,7875.0,1104.9
gpt2-medium,True,Redefine,(0.75, 1),1399.9,7233.5,1366.6
gpt2-large,True,Redefine,(0, 0.25),1115.4,7762.0,1122.6
gpt2-large,True,Redefine,(0.25, 0.5),1249.9,7439.5,1310.6
gpt2-large,True,Redefine,(0.5, 0.75),1348.8,7246.3,1404.9
gpt2-large,True,Redefine,(0.75, 1),1309.6,7343.7,1346.7
gpt2-xl,True,Redefine,(0, 0.25),2285.5,6393.1,1321.4
gpt2-xl,True,Redefine,(0.25, 0.5),2472.0,6058.0,1470.0
gpt2-xl,True,Redefine,(0.5, 0.75),2557.3,5968.3,1474.4
gpt2-xl,True,Redefine,(0.75, 1),2398.9,6227.1,1374.0
gpt2,False,Redefine,(0, 0.25),413.0,9547.0,40.0
gpt2,False,Assume,(0, 0.25),640.0,9203.0,157.0
gpt2,False,Suppose,(0, 0.25),470.0,9443.0,87.0
gpt2,False,Context,(0, 0.25),542.0,9357.0,101.0
gpt2-medium,False,Redefine,(0, 0.25),431.0,9531.0,38.0
gpt2-medium,False,Assume,(0, 0.25),1016.0,8773.0,211.0
gpt2-medium,False,Suppose,(0, 0.25),892.0,8848.0,260.0
gpt2-medium,False,Context,(0, 0.25),550.0,9402.0,48.0
gpt2-large,False,Redefine,(0, 0.25),1020.0,8959.0,21.0
gpt2-large,False,Assume,(0, 0.25),2324.0,7412.0,264.0
gpt2-large,False,Suppose,(0, 0.25),2212.0,7352.0,436.0
gpt2-large,False,Context,(0, 0.25),835.0,9154.0,11.0
gpt2-xl,False,Redefine,(0, 0.25),726.0,9246.0,28.0
gpt2-xl,False,Assume,(0, 0.25),1050.0,8890.0,60.0
gpt2-xl,False,Suppose,(0, 0.25),1366.0,8367.0,267.0
gpt2-xl,False,Context,(0, 0.25),854.0,9117.0,29.0
