,labels,values,std
0,L8H5,12.890793,8.211839
1,L7H6,11.7593,6.937658
2,L8H10,8.051931,7.07988
3,L7H10,7.874859,6.448913
4,L9H6,7.2853074,7.869202
5,L9H9,6.7063913,9.792558
6,L6H6,5.4704127,5.1555157
7,L10H10,5.0771246,7.1472483
8,L7H2,4.981996,7.1925044
9,L2H11,3.2385116,2.9129999
10,L7H9,3.0116732,4.491257
11,L5H1,2.8622859,6.9622335
12,L6H5,2.352333,2.365211
13,L9H5,1.8965276,2.0777752
14,L7H8,1.7358127,3.2480109
15,L6H2,1.7169485,3.3510282
16,L9H0,1.6123116,4.677171
17,L1H3,1.5411608,2.0056832
18,L10H0,1.2594997,12.434329
19,L7H3,1.150736,2.8381002
20,L4H4,1.106394,2.1778963
21,L10H6,1.1026775,3.0611136
22,L1H4,1.0065836,1.7716783
23,L6H7,0.9905867,3.1065228
24,L0H6,0.868438,1.9436924
25,L5H11,0.7044337,2.2100844
26,L10H8,0.5281072,1.2563518
27,L4H6,0.47975194,2.306794
28,L3H10,0.2847623,1.4596295
29,L9H4,0.24916036,1.1908618
30,L1H1,0.21668522,0.9963462
31,L1H8,0.16771089,1.0212827
32,L9H3,0.15695377,4.03103
33,L3H0,0.13504997,1.1308262
34,L0H4,0.113418445,0.49177507
35,L1H6,0.11189127,0.8884891
36,L5H4,0.103512876,0.7722639
37,L5H2,0.08323377,1.4556127
38,L10H5,0.04082666,0.92041504
39,L3H2,0.036292236,1.1216898
40,L0H0,0.02591707,0.40888456
41,L10H2,0.006982954,1.895124
42,L11H4,0.0038292955,3.099924
43,L3H5,-0.0030312974,1.413348
44,L3H4,-0.009448785,1.4603555
45,L11H5,-0.018211845,1.7876463
46,L1H7,-0.059019204,1.8873172
47,L9H7,-0.07397365,1.9812685
48,L4H2,-0.07790421,1.1025116
49,L10H3,-0.09279289,4.133297
50,L0H2,-0.13100068,0.58528584
51,L11H0,-0.13393253,10.589456
52,L4H0,-0.15237635,0.8492307
53,L4H10,-0.16210093,0.8647176
54,L2H7,-0.17201172,0.6527883
55,L11H8,-0.18016931,5.0895343
56,L3H1,-0.19044895,1.1093622
57,L0H5,-0.21268132,0.75924706
58,L3H9,-0.222204,1.0100504
59,L9H2,-0.22272775,2.229887
60,L11H7,-0.22899249,4.061254
61,L6H8,-0.2331423,2.2258992
62,L2H1,-0.24765565,1.1985102
63,L3H6,-0.2534908,1.596475
64,L3H7,-0.2598247,1.5190204
65,L1H9,-0.27714697,0.7197602
66,L7H1,-0.29057217,3.3601522
67,L3H8,-0.2912766,1.0042425
68,L8H4,-0.29276225,0.92146945
69,L4H5,-0.31110516,0.6928702
70,L2H9,-0.3266831,2.5535996
71,L3H11,-0.3306398,1.5089889
72,L9H10,-0.34191266,0.9594909
73,L7H4,-0.3423246,1.4594989
74,L11H1,-0.34739637,2.3645437
75,L9H11,-0.38875738,1.5044253
76,L0H1,-0.3948531,2.3597848
77,L1H0,-0.4313535,1.2078474
78,L6H9,-0.45885274,3.1070807
79,L4H3,-0.4863503,1.546907
80,L4H8,-0.51306295,1.0430367
81,L10H4,-0.5247028,1.4582399
82,L5H3,-0.5314976,1.2725258
83,L7H11,-0.5560016,1.4719356
84,L6H0,-0.55664706,1.7671406
85,L5H6,-0.5620147,0.8390805
86,L5H9,-0.5819967,3.326741
87,L0H3,-0.6006085,1.3822303
88,L2H5,-0.62295896,1.8159275
89,L2H8,-0.6252362,2.0836923
90,L7H0,-0.63072175,1.2163564
91,L6H1,-0.6641868,2.0027485
92,L9H1,-0.6833258,1.2791263
93,L0H7,-0.684721,1.6171464
94,L4H11,-0.7143466,1.6195079
95,L10H11,-0.7495134,3.5461888
96,L2H4,-0.77459586,1.7562224
97,L2H10,-0.7793764,3.4366524
98,L5H8,-0.7939467,1.9960185
99,L8H0,-0.81073844,3.3409085
100,L11H9,-0.81762165,3.7767015
101,L9H8,-0.8205843,7.24028
102,L8H11,-0.83670026,3.6388202
103,L2H0,-0.83865106,3.2137127
104,L5H5,-0.8965726,3.1789937
105,L5H7,-0.9423498,2.1754408
106,L8H8,-0.9438535,2.534846
107,L1H5,-0.9993963,1.8882407
108,L2H3,-1.0041828,2.5340102
109,L4H9,-1.0129515,1.5543815
110,L1H10,-1.0892403,2.0376906
111,L5H0,-1.090691,2.4756222
112,L6H4,-1.0956933,3.1617775
113,L2H2,-1.111622,1.2682863
114,L1H11,-1.1218216,2.9497635
115,L0H8,-1.1452955,5.4365864
116,L0H9,-1.2026501,3.1101458
117,L6H10,-1.21182,3.5675128
118,L8H2,-1.2218877,3.0974984
119,L10H9,-1.2240088,1.6266447
120,L4H1,-1.2322111,1.5575427
121,L11H6,-1.2523707,3.6232297
122,L4H7,-1.5748596,2.5090163
123,L8H9,-1.6251026,5.1248474
124,L3H3,-1.6852487,2.2506034
125,L6H3,-1.7257795,2.3637335
126,L6H11,-1.7333791,1.8422769
127,L7H5,-1.7336676,2.4078083
128,L0H11,-1.9328464,3.4868855
129,L1H2,-2.024825,2.150329
130,L2H6,-2.02645,2.5509098
131,L11H11,-2.1545317,3.6933448
132,L5H10,-2.262488,3.0898807
133,L8H3,-2.359563,2.1726937
134,L10H1,-2.6886518,4.5958996
135,L8H7,-2.8339252,2.9046278
136,L8H1,-3.2104006,4.987305
137,L7H7,-3.504616,3.8129408
138,L11H2,-4.4023185,7.0888734
139,L0H10,-5.163581,6.386346
140,L8H6,-5.4040217,5.824262
141,L11H3,-5.5958714,5.4016666
142,L10H7,-6.781018,8.406335
143,L11H10,-9.511233,6.7371573
