,index,column,value
0,0,0,-5.9279923
1,1,0,-5.798989
2,2,0,-6.635788
3,3,0,-6.0945663
4,4,0,-5.089515
5,5,0,-5.367226
6,6,0,-6.2444115
7,7,0,-7.732905
8,8,0,-8.465356
9,9,0,-11.070292
10,10,0,-13.149753
11,11,0,-13.476006
12,0,1,0.5962159
13,1,1,-0.47171697
14,2,1,-1.36635
15,3,1,-1.8171881
16,4,1,-2.3332136
17,5,1,-2.916664
18,6,1,-4.1967998
19,7,1,-5.1752625
20,8,1,-5.7013874
21,9,1,-8.236034
22,10,1,-10.28526
23,11,1,-11.470752
24,0,2,-3.3462589
25,1,2,-3.6950476
26,2,2,-3.7706623
27,3,2,-4.0174546
28,4,2,-3.9166443
29,5,2,-4.09411
30,6,2,-4.238334
31,7,2,-4.8618693
32,8,2,-5.342949
33,9,2,-7.6908164
34,10,2,-9.654256
35,11,2,-11.588707
36,0,3,-3.1519241
37,1,3,-3.031965
38,2,3,-2.9931927
39,3,3,-2.930961
40,4,3,-2.8591442
41,5,3,-2.922191
42,6,3,-2.955899
43,7,3,-3.6865127
44,8,3,-4.0829425
45,9,3,-6.279634
46,10,3,-7.868782
47,11,3,-8.659726
48,0,4,-2.6131513
49,1,4,-2.0037189
50,2,4,-1.2858399
51,3,4,-1.0034488
52,4,4,-0.74294233
53,5,4,-0.5263998
54,6,4,-0.4366335
55,7,4,-0.84774256
56,8,4,-0.5650394
57,9,4,-1.9694415
58,10,4,-3.6337023
59,11,4,-3.5099256
60,0,5,4.8729706
61,1,5,5.990808
62,2,5,7.5931377
63,3,5,8.84708
64,4,5,9.463835
65,5,5,10.842547
66,6,5,12.673169
67,7,5,14.120007
68,8,5,16.496223
69,9,5,16.95102
70,10,5,16.211357
71,11,5,11.86731
72,0,6,45.6704
73,1,6,38.51231
74,2,6,34.967094
75,3,6,31.555794
76,4,6,28.223656
77,5,6,25.889532
78,6,6,23.64977
79,7,6,22.725157
80,8,6,22.476234
81,9,6,22.563398
82,10,6,21.760458
83,11,6,18.57989
84,0,7,1.9362893
85,1,7,2.6204011
86,2,7,3.4647658
87,3,7,3.7635667
88,4,7,3.6699793
89,5,7,2.8818614
90,6,7,3.658971
91,7,7,2.8198903
92,8,7,2.6839354
93,9,7,7.3653703
94,10,7,10.601834
95,11,7,10.312818
96,0,8,1.1466559
97,1,8,0.41568348
98,2,8,0.50412506
99,3,8,-0.61257917
100,4,8,-1.7058091
101,5,8,-2.3253007
102,6,8,-3.0436099
103,7,8,-4.0459986
104,8,8,-4.504182
105,9,8,-4.5081477
106,10,8,-4.392733
107,11,8,-1.8712282
108,0,9,-2.1197517
109,1,9,-2.4044764
110,2,9,-2.2542493
111,3,9,-2.9396398
112,4,9,-3.3760738
113,5,9,-4.0656667
114,6,9,-3.8984172
115,7,9,-5.3283563
116,8,9,-5.5378456
117,9,9,-6.184378
118,10,9,-6.0012608
119,11,9,-4.2928753
120,0,10,-2.0881205
121,1,10,-1.6711861
122,2,10,-1.387524
123,3,10,-1.8004223
124,4,10,-2.344303
125,5,10,-3.0226686
126,6,10,-2.6830692
127,7,10,-4.0739665
128,8,10,-4.0825543
129,9,10,-4.6451516
130,10,10,-4.1280656
131,11,10,-1.1144527
132,0,11,-1.5725098
133,1,11,-0.69116026
134,2,11,-0.320786
135,3,11,-0.383096
136,4,11,-0.6927278
137,5,11,-1.3390461
138,6,11,-0.83590204
139,7,11,-0.8383271
140,8,11,-0.3431261
141,9,11,1.3515075
142,10,11,4.1293845
143,11,11,7.3701262
144,0,12,5.758165
145,1,12,6.5685577
146,2,12,7.9599633
147,3,12,9.347611
148,4,12,9.210822
149,5,12,18.414753
150,6,12,22.425764
151,7,12,38.27313
152,8,12,38.97427
153,9,12,54.12181
154,10,12,62.982788
155,11,12,53.315655
